score_mode,fine_role,assistant_turn_distance,samples,kept_fraction_mean,heavy_kept_fraction_mean,score_sum_mean,reactivated_messages,reactivated_as_heavy_messages
zero,asst_greeting,26,2,0.36363636363636365,0.0,0.0,0,0
zero,asst_greeting,27,2,0.36363636363636365,0.0,0.0,0,0
zero,asst_greeting,28,2,0.36363636363636365,0.0,0.0,0,0
zero,asst_greeting,29,2,0.36363636363636365,0.0,0.0,0,0
zero,asst_greeting,30,2,0.36363636363636365,0.0,0.0,0,0
zero,asst_greeting,31,2,0.36363636363636365,0.0,0.0,0,0
zero,asst_greeting,32,2,0.36363636363636365,0.0,0.0,0,0
zero,asst_greeting,33,2,0.36363636363636365,0.0,0.0,0,0
zero,asst_greeting,34,2,0.36363636363636365,0.0,0.0,0,0
zero,asst_greeting,35,2,0.36363636363636365,0.0,0.0,0,0
zero,asst_greeting,36,2,0.36363636363636365,0.0,0.0,0,0
zero,asst_greeting,37,2,0.36363636363636365,0.0,0.0,0,0
zero,asst_greeting,38,2,0.36363636363636365,0.0,0.0,0,0
zero,asst_greeting,39,2,0.36363636363636365,0.0,0.0,0,0
zero,asst_greeting,40,2,0.36363636363636365,0.0,0.0,0,0
zero,asst_greeting,41,2,0.36363636363636365,0.0,0.0,0,0
zero,asst_greeting,42,2,0.36363636363636365,0.0,0.0,0,0
zero,asst_greeting,43,2,0.36363636363636365,0.0,0.0,0,0
zero,asst_greeting,44,2,0.36363636363636365,0.0,0.0,0,0
zero,asst_greeting,45,2,0.36363636363636365,0.0,0.0,0,0
zero,asst_greeting,46,2,0.36363636363636365,0.0,0.0,0,0
zero,asst_greeting,47,2,0.36363636363636365,0.0,0.0,0,0
zero,asst_greeting,48,2,0.36363636363636365,0.0,0.0,0,0
zero,asst_greeting,49,2,0.36363636363636365,0.0,0.0,0,0
zero,asst_greeting,50,2,0.36363636363636365,0.0,0.0,0,0
zero,asst_greeting,51,2,0.36363636363636365,0.0,0.0,0,0
zero,asst_greeting,52,2,0.36363636363636365,0.0,0.0,0,0
zero,asst_greeting,53,2,0.36363636363636365,0.0,0.0,0,0
zero,asst_greeting,54,2,0.36363636363636365,0.0,0.0,0,0
zero,asst_greeting,55,2,0.36363636363636365,0.0,0.0,0,0
zero,asst_greeting,56,2,0.36363636363636365,0.0,0.0,0,0
zero,asst_greeting,57,2,0.36363636363636365,0.0,0.0,0,0
zero,asst_greeting,58,2,0.36363636363636365,0.0,0.0,0,0
zero,asst_greeting,59,2,0.36363636363636365,0.0,0.0,0,0
zero,asst_greeting,60,2,0.36363636363636365,0.0,0.0,0,0
zero,asst_greeting,61,2,0.36363636363636365,0.0,0.0,0,0
zero,asst_greeting,62,2,0.36363636363636365,0.0,0.0,0,0
zero,asst_greeting,63,2,0.36363636363636365,0.0,0.0,0,0
zero,asst_greeting,64,1,0.36363636363636365,0.0,0.0,0,0
zero,asst_tool_call,0,40,0.9627840909090908,0.15829015544041453,0.0,0,0
zero,asst_tool_call,1,39,0.2914646554111678,0.2901014538866268,0.0,0,11
zero,asst_tool_call,2,29,0.0,0.0,0.0,0,0
zero,asst_tool_call,3,21,0.0,0.0,0.0,0,0
zero,asst_tool_call,4,14,0.0,0.0,0.0,0,0
zero,asst_tool_call,5,11,0.0,0.0,0.0,0,0
zero,asst_tool_call,6,8,0.0,0.0,0.0,0,0
zero,asst_tool_call,7,5,0.0,0.0,0.0,0,0
zero,asst_tool_call,8,4,0.0,0.0,0.0,0,0
zero,asst_tool_call,9,3,0.0,0.0,0.0,0,0
zero,asst_tool_call,10,1,0.0,0.0,0.0,0,0
zero,user_msg,0,400,0.9992996108949416,0.0036764705882352945,0.0,0,0
zero,user_msg,1,360,0.7700248940470451,0.4450248940470451,0.0,0,167
zero,user_msg,2,320,0.2314447136959906,0.22831371689428487,0.0,0,68
zero,user_msg,3,280,0.012196828213174717,0.012196828213174717,0.0,0,0
zero,user_msg,4,242,0.0,0.0,0.0,0,0
zero,user_msg,5,204,0.0,0.0,0.0,0,0
zero,user_msg,6,173,0.0,0.0,0.0,0,0
zero,user_msg,7,156,0.0,0.0,0.0,0,0
zero,user_msg,8,146,0.0,0.0,0.0,0,0
zero,user_msg,9,136,0.0,0.0,0.0,0,0
zero,user_msg,10,128,0.0,0.0,0.0,0,0
zero,user_msg,11,120,0.0,0.0,0.0,0,0
zero,user_msg,12,114,0.0,0.0,0.0,0,0
zero,user_msg,13,108,0.0,0.0,0.0,0,0
zero,user_msg,14,103,0.0,0.0,0.0,0,0
zero,user_msg,15,99,0.0,0.0,0.0,0,0
zero,user_msg,16,97,0.0,0.0,0.0,0,0
zero,user_msg,17,95,0.0,0.0,0.0,0,0
zero,user_msg,18,93,0.0,0.0,0.0,0,0
zero,user_msg,19,91,0.0,0.0,0.0,0,0
zero,user_msg,20,89,0.0,0.0,0.0,0,0
zero,user_msg,21,87,0.0,0.0,0.0,0,0
zero,user_msg,22,85,0.0,0.0,0.0,0,0
zero,user_msg,23,83,0.0,0.0,0.0,0,0
zero,user_msg,24,81,0.0,0.0,0.0,0,0
zero,user_msg,25,79,0.0,0.0,0.0,0,0
zero,user_msg,26,77,0.0,0.0,0.0,0,0
zero,user_msg,27,75,0.0,0.0,0.0,0,0
zero,user_msg,28,73,0.0,0.0,0.0,0,0
zero,user_msg,29,71,0.0,0.0,0.0,0,0
zero,user_msg,30,69,0.0,0.0,0.0,0,0
zero,user_msg,31,67,0.0,0.0,0.0,0,0
zero,user_msg,32,65,0.0,0.0,0.0,0,0
zero,user_msg,33,63,0.0,0.0,0.0,0,0
zero,user_msg,34,61,0.0,0.0,0.0,0,0
zero,user_msg,35,59,0.0,0.0,0.0,0,0
zero,user_msg,36,57,0.0,0.0,0.0,0,0
zero,user_msg,37,55,0.0,0.0,0.0,0,0
zero,user_msg,38,53,0.0,0.0,0.0,0,0
zero,user_msg,39,51,0.0,0.0,0.0,0,0
zero,user_msg,40,49,0.0,0.0,0.0,0,0
zero,user_msg,41,47,0.0,0.0,0.0,0,0
zero,user_msg,42,45,0.0,0.0,0.0,0,0
zero,user_msg,43,43,0.0,0.0,0.0,0,0
zero,user_msg,44,41,0.0,0.0,0.0,0,0
zero,user_msg,45,39,0.0,0.0,0.0,0,0
zero,user_msg,46,37,0.0,0.0,0.0,0,0
zero,user_msg,47,35,0.0,0.0,0.0,0,0
zero,user_msg,48,33,0.0,0.0,0.0,0,0
