sim_id,context_turn,total_msgs,msg_idx,msg_dist,asst_turns_dist,role,fine_role,attn_mean,attn_sum,token_count,seq_len,attn_frac
ea871dd1-e45,18,24,7,11,5,user,user_msg,0.00015934314448507852,0.006214382634918062,39,1030,0.006214781100528307
ea871dd1-e45,18,24,8,10,5,assistant,asst_gen,0.0010663850853163677,0.04585455866860381,43,1030,0.045857498858446595
ea871dd1-e45,18,24,9,9,4,user,user_msg,0.00018597813491400613,0.008926950475872294,48,1030,0.008927522871068723
ea871dd1-e45,18,24,10,8,4,assistant,asst_gen,0.0007335497514263205,0.0535491318541214,73,1030,0.0535525654192486
ea871dd1-e45,18,24,11,7,3,user,user_msg,0.00027261173377267784,0.007360516811862302,27,1030,0.007360988767484519
ea871dd1-e45,18,24,12,6,3,assistant,asst_tool_call,0.0013158849746111093,0.06842601867977768,52,1030,0.06843040614944147
ea871dd1-e45,18,24,13,5,2,user,user_msg,0.0003246953306729882,0.006818601944132752,21,1030,0.006819039152226348
ea871dd1-e45,18,24,14,4,2,assistant,asst_tool_call,0.0009613369840042082,0.03172412047213887,33,1030,0.031726154619658595
ea871dd1-e45,18,24,15,3,1,user,user_msg,0.000654966192137686,0.007859594305652232,12,1030,0.00786009826207482
ea871dd1-e45,18,24,16,2,1,assistant,asst_gen,0.00047018083601901655,0.07287802958294756,155,1030,0.07288270251511754
ea871dd1-e45,18,24,17,1,0,user,user_msg,0.0002344327381761204,0.014300397028743344,61,1030,0.014301313968810212
ea871dd1-e45,18,24,18,0,0,assistant,asst_gen,0.0012991691372522872,0.3442798213718561,265,1030,0.3443018965605236
ea871dd1-e45,20,24,0,20,10,assistant,asst_greeting,0.008479742867941105,0.07631768581146994,9,1397,0.07631495063857692
ea871dd1-e45,20,24,1,19,9,user,user_msg,0.0017873265426238678,0.06255642899183537,35,1397,0.06255418701283609
ea871dd1-e45,20,24,2,18,9,assistant,asst_gen,0.0029545208664712107,0.09749918859354996,33,1397,0.09749569429029774
ea871dd1-e45,20,24,3,17,8,user,user_msg,0.000265467779172468,0.004778420025104424,18,1397,0.004778248769847072
ea871dd1-e45,20,24,4,16,8,assistant,asst_gen,0.000740002019638934,0.030340082805196292,41,1397,0.03033899543768536
ea871dd1-e45,20,24,5,15,7,user,user_msg,0.00018366521198913687,0.0018366521198913688,10,1397,0.001836586295554076
ea871dd1-e45,20,24,6,14,7,assistant,asst_gen,0.00040466438525375755,0.022256541188956664,55,1397,0.022255743529967068
ea871dd1-e45,20,24,7,13,6,user,user_msg,0.00010722375514872426,0.004181726450800246,39,1397,0.004181576580626477
ea871dd1-e45,20,24,8,12,6,assistant,asst_gen,0.000683384028148836,0.02938551321039995,43,1397,0.029384460054000798
ea871dd1-e45,20,24,9,11,5,user,user_msg,0.0001474891165413636,0.0070794775939854535,48,1397,0.007079223870421827
ea871dd1-e45,20,24,10,10,5,assistant,asst_gen,0.00043522106174761626,0.031771137507575986,73,1397,0.03176999885205771
ea871dd1-e45,20,24,11,9,4,user,user_msg,0.0001431408287305798,0.0038648023757256547,27,1397,0.0038646638638907818
ea871dd1-e45,20,24,12,8,4,assistant,asst_tool_call,0.0007866697137578681,0.04090682511540914,52,1397,0.04090535904318741
ea871dd1-e45,20,24,13,7,3,user,user_msg,0.00017712833110520494,0.0037196949532093035,21,1397,0.0037195616419237456
ea871dd1-e45,20,24,14,6,3,assistant,asst_tool_call,0.0005982998366021368,0.019743894607870516,33,1397,0.019743187000390544
ea871dd1-e45,20,24,15,5,2,user,user_msg,0.0003016708609303957,0.003620050331164748,12,1397,0.003619920591073288
ea871dd1-e45,20,24,16,4,2,assistant,asst_gen,0.00029407953320343793,0.04558232764653288,155,1397,0.04558069400754535
ea871dd1-e45,20,24,17,3,1,user,user_msg,0.00013390652960521544,0.008168298305918142,61,1397,0.008168005559775869
ea871dd1-e45,20,24,18,2,1,assistant,asst_gen,0.00040024454753917823,0.10606480509788223,265,1397,0.10606100380887926
ea871dd1-e45,20,24,19,1,0,user,user_msg,0.0001520276059109105,0.015506815802912872,102,1397,0.015506260049396628
ea871dd1-e45,20,24,20,0,0,assistant,asst_gen,0.001452284800204093,0.38485547205408466,265,1397,0.3848416791010659
ea871dd1-e45,22,24,0,22,11,assistant,asst_greeting,0.007610705467717101,0.06849634920945391,9,1537,0.06849901256401364
